#用例003：URL为空
2015041818,56175195346,cmnet,,6911,2450,7,9073,842364
2015041220,45642891802,cmwap,,7512,4333,9,2003,366949
2015050122,41786181661,cmnet,,7923,3996,7,168,656947
2015011604,41161284973,cmnet,,1885,1609,3,3800,484507
2015021316,47461037257,cmnet,,3420,750,8,5614,768777
2015041721,41079722935,cmnet,,2897,7734,7,5028,787092
2015042818,41038626604,cmnet,,1269,4691,6,1271,779294
2015031500,41801567920,cmnet,,3707,9176,6,4398,445452
2015022510,41797871296,cmnet,,6357,3581,2,1995,575824
2015041308,56715944368,cmnet,,2361,2148,9,5490,328148
